SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-15-2017,Single Family Residential,20 Morningside Ave,Natick,MA,01760,630000,4,2.0,Natick,1778,40032,1963,62,354,,Sold,,,http://www.redfin.com/MA/Natick/20-Morningside-Ave-01760/home/11671818,MLS PIN,72196686,Y,Y,42.2706792,-71.3356453
PAST SALE,,Single Family Residential,1 Marie Path,Natick,MA,01760,910000,4,3.5,,4064,15072,2004,,224,,,,,http://www.redfin.com/MA/Natick/1-Marie-Path-01760/home/11674093,,,N,Y,42.2724302,-71.3858283
PAST SALE,September-18-2012,Single Family Residential,12 Speen St,Natick,MA,01760,780000,4,3.5,Natick,4396,31842,2006,1885,177,,Sold,,,http://www.redfin.com/MA/Natick/12-Speen-St-01760/home/11681786,MLS PIN,71371062,N,Y,42.2715521,-71.3814291
PAST SALE,,Single Family Residential,8 Samuel Path,Natick,MA,01760,910000,4,3.5,,3284,15377,2003,,277,,,,,http://www.redfin.com/MA/Natick/8-Samuel-Path-01760/home/11674107,,,N,Y,42.2723672,-71.3847866
PAST SALE,June-25-2010,Single Family Residential,76A Rathbun Rd,Natick,MA,01760,721000,4,3.5,Wellesley - Weston Line,4100,24500,2007,2701,176,,Sold,,,http://www.redfin.com/MA/Natick/76A-Rathbun-Rd-01760/home/22000185,MLS PIN,71026946,N,Y,42.3136721,-71.3335429
PAST SALE,August-3-2015,Single Family Residential,2 Ingleside Rd,Natick,MA,01760,467000,3,2.5,Natick,2142,15202,1960,836,218,,Sold,,,http://www.redfin.com/MA/Natick/2-Ingleside-Rd-01760/home/11651089,MLS PIN,71851097,N,Y,42.3111187,-71.3305981
PAST SALE,March-1-2017,Single Family Residential,5 Jennison Cir,Natick,MA,01760,1505000,5,5.0,Natick,5810,65340,2006,260,259,,Sold,,,http://www.redfin.com/MA/Natick/5-Jennison-Cir-01760/home/12441128,MLS PIN,71997951,N,Y,42.3198607,-71.3344566
PAST SALE,August-18-2014,Single Family Residential,85 Winter St,Natick,MA,01760,565000,4,2.5,Natick,2166,23740,1949,1186,261,,Sold,,,http://www.redfin.com/MA/Natick/85-Winter-St-01760/home/11648119,MLS PIN,71677275,N,Y,42.320517,-71.329356
PAST SALE,December-31-1996,Single Family Residential,5 WHITNEY Cir Lot 5A,Natick,MA,,451989,4,2.5,Natick,3225,20362,1997,7625,140,,Sold,,,http://www.redfin.com/MA/Natick/5-Whitney-Cir-01760/unit-5A/home/130451654,MLS PIN,50334071,N,Y,42.3144522,-71.3305824
PAST SALE,October-29-1999,Single Family Residential,46 RATHBUN Rd,Natick,MA,01760,416000,4,2.5,Natick,2300,30665,1995,6593,181,,Sold,,,http://www.redfin.com/MA/Natick/46-Rathbun-Rd-01760/home/11674556,MLS PIN,30340244,N,Y,42.3157373,-71.3303575
